Average Weekday Subway Ridership,,,,,,,,,,,,
Station (alphabetical by borough),Boro,2007,2008,2009,2010,2011,2012,2013,2012-2013 Change,,2013 Rank,
"135 St (B,C) ",M,"4,540","4,791","4,657","4,878","5,145","5,409","5,592",+183,+3.4%,268,
137 St-City College (1) ,M,"14,316","14,454","14,181","14,158","14,528","14,854","14,947",+93,+0.6%,100,
"14 St (A,C,E)/8 Av (L) ",M,"35,018","36,735","35,157","36,777","38,802","40,990","42,718","+1,728",+4.2%,19,
"14 St (F,M,1,2,3)/6 Av (L) ",M,"46,877","48,540","47,932","47,204","47,831","49,237","49,316",+79,+0.2%,17,
"14 St-Union Sq (L,N,Q,R,4,5,6) ",M,"104,501","109,272","105,118","106,380","107,352","108,000","108,158",+158,+0.1%,4,
145 St (1) ,M,"9,422","9,487","9,382","9,417","9,510","9,952","9,931",-21,-0.2%,157,
145 St (3) ,M,"2,693","2,777","2,848","2,873","3,136","3,273","3,426",+153,+4.7%,353,
"145 St (A,B,C,D) ",M,"19,170","20,476","20,126","20,730","21,576","22,125","22,879",+754,+3.4%,60,
"155 St (B,D) ",M,"3,718","3,735","3,728","3,823","3,845","3,947","3,948",+1,+0.0%,331,
155 St (C) ,M,"2,264","2,321","2,221","2,279","2,455","2,490","2,529",+39,+1.6%,383,
157 St (1) ,M,"9,706","9,815","9,843","9,899","9,972","10,331","10,677",+346,+3.3%,149,
163 St-Amsterdam Av (C) ,M,"3,587","3,600","3,525","3,663","3,772","3,849","4,080",+231,+6.0%,326,
"168 St (A,C,1) ",M,"22,377","23,458","23,592","23,572","24,019","24,580","25,041",+461,+1.9%,49,
175 St (A) ,M,"12,325","12,402","11,834","12,078","12,737","12,914","13,309",+395,+3.1%,114,
18 St (1) ,M,"8,010","8,076","7,846","7,968","8,199","8,437","8,505",+68,+0.8%,183,
181 St (1) ,M,"10,819","11,133","10,604","10,803","10,370","10,978","11,228",+250,+2.3%,142,
181 St (A) ,M,"9,795","9,772","9,585","9,723","10,044","10,223","10,404",+181,+1.8%,152,
190 St (A) ,M,"4,007","3,993","3,891","3,988","4,425","4,592","4,546",-46,-1.0%,311,
191 St (1) ,M,"7,648","7,880","7,532","7,561","7,686","8,042","8,258",+216,+2.7%,186,
2 Av (F) ,M,"16,637","17,552","17,310","17,090","17,364","17,540","17,801",+261,+1.5%,76,
207 St (1) ,M,"5,189","5,640","5,746","5,917","6,745","6,954","6,098",-856,-12.3%,246,
215 St (1) ,M,"1,444","1,824","1,979","1,949","2,006","1,996","2,078",+82,+4.1%,394,
23 St (1) ,M,"14,948","14,766","14,338","14,379","14,663","14,931","15,283",+352,+2.4%,97,
23 St (6) ,M,"31,527","32,018","30,908","30,929","31,206","31,053","31,777",+724,+2.3%,32,
"23 St (C,E) ",M,"21,799","22,749","22,061","21,934","22,900","23,572","24,782","+1,210",+5.1%,50,
"23 St (F,M) ",M,"25,706","25,917","24,407","25,100","27,049","27,977","28,749",+772,+2.8%,35,
"23 St (N,R) ",M,"18,853","19,695","19,065","20,007","22,080","22,981","22,760",-221,-1.0%,61,
28 St (1) ,M,"12,388","12,601","12,752","13,179","13,634","14,597","15,149",+552,+3.8%,99,
28 St (6) ,M,"22,323","22,750","22,042","22,274","22,794","22,715","23,696",+981,+4.3%,53,
"28 St (N,R) ",M,"9,719","9,965","9,657","10,003","10,894","11,502","11,607",+105,+0.9%,135,
3 Av (L) ,M,"5,241","5,605","5,815","6,123","6,278","6,532","6,803",+271,+4.1%,220,
33 St (6) ,M,"31,292","31,883","30,129","30,497","31,181","31,877","32,783",+906,+2.8%,31,
"34 St-Herald Square (B,D,F,M,N,Q,R) ",M,"124,651","126,117","119,202","120,764","121,081","121,120","122,517","+1,397",+1.2%,3,
"34 St-Penn Station (1,2,3) ",M,"91,169","92,750","88,520","87,736","87,482","88,929","90,042","+1,113",+1.3%,5,
"34 St-Penn Station (A,C,E) ",M,"83,450","85,542","79,875","80,009","81,585","82,511","83,717","+1,206",+1.5%,6,
"42 St-Bryant Pk (B,D,F,M)/5 Av (7) ",M,"47,175","48,939","46,431","47,741","50,375","51,962","53,222","+1,260",+2.4%,15,
"47-50 Sts-Rockefeller Center (B,D,F,M) ",M,"61,560","60,818","55,402","56,758","59,979","59,749","61,099","+1,350",+2.3%,12,
"49 St (N,Q,R) ",M,"25,410","25,796","24,487","25,284","25,480","25,793","25,356",-437,-1.7%,47,
"5 Av-53 St (E,M) ",M,"26,411","26,667","24,027","23,239","23,970","24,727","25,939","+1,212",+4.9%,45,
"5 Av-59 St (N,Q,R) ",M,"17,896","18,894","17,762","18,200","18,797","18,816","18,394",-422,-2.2%,72,
50 St (1) ,M,"27,141","26,187","24,388","24,636","25,062","25,930","26,192",+262,+1.0%,44,
"50 St (C,E) ",M,"18,314","18,776","17,395","16,936","17,403","17,892","19,406","+1,514",+8.5%,69,
57 St (F) ,M,"15,157","15,267","13,939","14,426","15,045","14,743","15,363",+620,+4.2%,95,
"57 St-7 Av (N,Q,R) ",M,"28,494","29,393","28,121","27,958","27,497","28,044","28,159",+115,+0.4%,37,
"59 St-Columbus Circle (A,B,C,D,1) ",M,"65,507","66,969","65,376","66,058","67,901","69,653","72,236","+2,583",+3.7%,7,
66 St-Lincoln Center (1) ,M,"22,887","22,623","21,496","21,717","22,436","23,305","23,651",+346,+1.5%,55,
68 St-Hunter College (6) ,M,"35,708","36,269","35,323","34,984","36,026","36,109","36,562",+453,+1.3%,30,
"7 Av (B,D,E) ",M,"14,476","14,793","13,887","14,004","14,530","14,922","15,800",+878,+5.9%,90,
"72 St (1,2,3) ",M,"35,330","36,311","36,287","36,900","39,180","40,271","40,853",+582,+1.4%,21,
"72 St (B,C) ",M,"8,062","8,532","8,245","8,435","8,679","8,875","9,067",+192,+2.2%,175,
77 St (6) ,M,"35,200","36,182","35,288","35,579","36,607","36,846","37,182",+336,+0.9%,28,
79 St (1) ,M,"16,721","16,345","15,802","15,952","16,276","16,349","16,576",+227,+1.4%,85,
"8 St-New York University (N,R) ",M,"16,443","16,696","16,303","16,759","17,759","17,766","16,597","-1,169",-6.6%,84,
"81 St-Museum of Natural History (B,C) ",M,"12,036","12,484","12,370","12,374","12,685","13,119","13,663",+544,+4.1%,111,
86 St (1) ,M,"19,491","19,354","18,933","18,901","19,269","19,677","19,766",+89,+0.5%,67,
"86 St (4,5,6) ",M,"59,958","61,897","60,254","60,965","62,214","63,550","64,741","+1,191",+1.9%,10,
"86 St (B,C) ",M,"10,779","10,998","10,469","10,572","10,771","11,093","11,236",+143,+1.3%,141,
"96 St (1,2,3) ",M,"35,159","35,682","34,571","35,053","36,550","37,941","38,711",+770,+2.0%,26,
96 St (6) ,M,"24,149","25,033","24,591","24,870","25,848","26,070","26,232",+162,+0.6%,43,
"96 St (B,C) ",M,"8,129","8,619","8,530","9,037","9,249","9,514","9,815",+301,+3.2%,159,
Astor Place (6) ,M,"17,642","17,927","17,376","17,630","17,632","17,607","17,914",+307,+1.7%,75,
"Bowery (J,Z) ",M,"2,434","2,822","3,084","3,016","2,763","2,746","2,743",-3,-0.1%,376,
"Bowling Green (4,5) ",M,"25,784","28,094","26,925","26,411","27,015","28,183","30,640","+2,457",+8.7%,33,
"Broad St (J,Z) ",M,"6,846","7,199","7,052","6,401","5,746","5,261","5,635",+374,+7.1%,265,
"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6) ",M,"31,923","33,377","32,489","34,191","36,301","37,283","38,799","+1,516",+4.1%,25,
"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",M,"34,570","36,656","36,679","36,939","36,350","36,993","36,680",-313,-0.8%,29,
Canal St (1) ,M,"5,460","5,689","5,526","5,691","5,960","5,854","6,039",+185,+3.2%,247,
"Canal St (A,C,E) ",M,"17,795","18,503","17,858","17,975","18,986","19,097","19,738",+641,+3.4%,68,
"Canal St (J,N,Q,R,Z,6) ",M,"45,505","47,383","46,450","46,435","45,700","45,952","44,696","-1,256",-2.7%,18,
Cathedral Pkwy-110 St (1) ,M,"12,938","13,382","13,277","13,116","13,650","13,870","13,874",+4,+0.0%,110,
"Cathedral Pkwy-110 St (B,C) ",M,"6,083","6,448","6,309","6,597","6,742","6,933","7,117",+184,+2.7%,210,
"Central Park North-110 St (2,3) ",M,"7,376","7,678","7,927","8,098","8,472","8,751","9,130",+379,+4.3%,174,
"Chambers St (1,2,3) ",M,"18,006","18,949","20,202","21,619","22,683","23,151","23,147",-4,-0.0%,58,
"Chambers St (A,C)/WTC (E)/Park Place (2,3) ",M,"53,900","54,437","51,076","50,671","53,178","53,589","53,426",-163,-0.3%,14,
Christopher St-Sheridan Sq (1) ,M,"10,142","10,136","10,016","10,005","10,077","10,068","10,076",+8,+0.1%,155,
City Hall (R) ,M,"10,697","11,107","10,636","9,840","8,954","7,330","5,666","-1,664",-22.7%,264,
Cortlandt St (1) ,M,0,0,0,0,0,0,0,,,,
Cortlandt St (R) ,M,0,0,347,"3,361","4,745","6,393","5,497",-896,-14.0%,271,
"Delancey St (F)/Essex St (J,M,Z) ",M,"18,016","19,078","19,380","20,798","22,127","22,846","23,691",+845,+3.7%,54,
Dyckman St (1) ,M,"7,235","7,482","7,248","7,092","4,025","3,795","6,564","+2,769",+73.0%,228,
Dyckman St (A) ,M,"5,914","5,778","5,579","5,935","7,088","7,375","6,557",-818,-11.1%,230,
East Broadway (F) ,M,"12,964","13,321","12,783","12,779","12,993","13,052","13,276",+224,+1.7%,116,
Franklin St (1) ,M,"5,846","5,857","5,596","5,804","5,998","5,931","5,825",-106,-1.8%,259,
"Fulton St (A,C,J,Z,2,3,4,5)",M,"66,293","68,975","65,635","64,287","63,203","62,779","64,461","+1,682",+2.7%,11,
"Grand Central-42 St (S,4,5,6,7) ",M,"149,224","153,747","144,904","144,350","147,644","150,266","153,861","+3,595",+2.4%,2,
"Grand St (B,D) ",M,"22,310","23,333","23,266","23,304","23,284","23,406","23,770",+364,+1.6%,52,
Harlem-148 St (3) ,M,"3,154","3,285","3,266","3,277","3,553","3,616","3,790",+174,+4.8%,339,
Houston St (1) ,M,"13,606","13,705","13,606","13,908","14,814","15,247","15,736",+489,+3.2%,92,
Inwood-207 St (A) ,M,"8,121","8,156","8,113","8,202","8,888","8,717","8,866",+149,+1.7%,178,
"Lexington Av (N,Q,R)/59 St (4,5,6) ",M,"62,657","65,013","61,403","63,138","65,855","67,478","67,841",+363,+0.5%,9,
"Lexington Av-53 St (E,M)/51 St (6) ",M,"71,048","70,667","64,389","62,774","66,045","67,821","69,973","+2,152",+3.2%,8,
Lexington Av-63 St (F) ,M,"12,991","13,488","13,425","15,816","15,616","15,639","15,404",-235,-1.5%,94,
Marble Hill-225 St (1) ,M,"5,434","5,718","5,586","5,570","4,758","5,380","5,456",+76,+1.4%,273,
"Prince St (N,R) ",M,"13,849","14,330","13,834","14,826","16,223","16,344","15,261","-1,083",-6.6%,98,
Rector St (1) ,M,"7,386","8,072","7,983","8,165","8,902","10,065","11,323","+1,258",+12.5%,140,
Rector St (R) ,M,"10,296","10,479","9,487","8,588","8,083","6,912","5,362","-1,550",-22.4%,276,
Roosevelt Island (F) ,M,"5,871","6,071","5,816","7,870","6,576","6,430","6,321",-109,-1.7%,238,
South Ferry (1)/Whitehall St (R) ,M,"28,007","28,948","29,284","29,014","29,583","26,576","20,405","-6,171",-23.2%,66,
Spring St (6) ,M,"10,509","10,877","10,603","11,132","11,729","12,153","12,257",+104,+0.9%,126,
"Spring St (C,E) ",M,"11,101","11,488","10,893","11,249","12,097","12,604","13,136",+532,+4.2%,120,
"Times Sq-42 St (N,Q,R,S,1,2,3,7)/42 St (A,C,E) ",M,"181,992","189,506","181,224","182,170","189,426","195,464","197,696","+2,232",+1.1%,1,
"Wall St (2,3) ",M,"26,579","26,852","26,090","25,371","25,559","25,682","26,706","+1,024",+4.0%,42,
"Wall St (4,5) ",M,"23,107","23,357","22,358","22,551","22,986","23,992","25,078","+1,086",+4.5%,48,
"West 4 St-Washington Sq (A,B,C,D,E,F,M) ",M,"36,879","38,018","37,304","37,175","37,873","39,157","40,798","+1,641",+4.2%,22,
Queens,,,,,,,,,,,,
103 St-Corona Plaza (7) ,Q,"16,352","18,021","17,627","17,751","18,583","18,984","19,216",+232,+1.2%,70,
104 St (A) ,Q,"1,808","1,827","1,715","1,693","1,751","1,725","1,736",+11,+0.6%,401,
"104 St (J,Z) ",Q,"2,388","2,509","2,498","2,527","2,558","2,553","2,575",+22,+0.9%,382,
111 St (7) ,Q,"9,725","10,381","10,366","10,457","10,593","10,655","10,914",+259,+2.4%,145,
111 St (A) ,Q,"2,678","2,770","2,666","2,618","2,711","2,728","2,718",-10,-0.4%,378,
111 St (J) ,Q,"2,588","2,637","2,607","2,650","2,683","2,613","2,605",-8,-0.3%,381,
"121 St (J,Z) ",Q,"1,876","2,021","2,091","2,176","2,248","2,218","2,222",+4,+0.2%,391,
169 St (F) ,Q,"7,999","8,416","8,412","8,600","8,949","8,944","9,042",+98,+1.1%,176,
21 St (G) ,Q,959,"1,001","1,015","1,050","1,123","1,478","1,309",-169,-11.4%,409,
21 St-Queensbridge (F) ,Q,"7,065","7,374","7,602","8,365","8,678","8,749","8,761",+12,+0.1%,180,
"30 Av (N,Q) ",Q,"13,433","13,781","13,430","13,791","13,774","14,515","14,802",+287,+2.0%,101,
33 St-Rawson St (7) ,Q,"12,734","13,147","13,405","13,660","13,587","13,985","14,246",+261,+1.9%,107,
"36 Av (N,Q) ",Q,"7,193","7,395","7,187","7,352","7,194","7,669","7,688",+19,+0.2%,195,
"36 St (M,R)",Q,"3,262","3,354","3,743","4,003","4,340","4,502","4,540",+38,+0.8%,312,
"39 Av (N,Q) ",Q,"2,110","2,269","2,562","2,833","2,768","3,044","3,262",+218,+7.2%,359,
40 St-Lowery St (7) ,Q,"10,513","10,725","10,433","10,620","10,751","10,919","11,100",+181,+1.7%,144,
"46 St (M,R)",Q,"9,592","9,860","9,222","9,246","9,399","9,482","9,529",+47,+0.5%,167,
46 St-Bliss St (7) ,Q,"14,145","14,561","14,273","14,389","14,479","14,499","14,656",+157,+1.1%,105,
52 St (7) ,Q,"6,516","6,614","6,388","6,440","6,596","6,748","6,830",+82,+1.2%,217,
"63 Dr-Rego Park (M,R)",Q,"15,068","15,171","14,395","14,940","15,557","16,056","16,334",+278,+1.7%,88,
"65 St (M,R)",Q,"3,283","3,409","3,296","3,313","3,448","3,551","3,532",-19,-0.5%,347,
"67 Av (M,R)",Q,"9,283","9,534","9,317","9,238","9,333","9,403","9,475",+72,+0.8%,169,
69 St (7) ,Q,"4,853","4,927","4,878","5,031","4,984","5,031","5,085",+54,+1.1%,285,
"74-Bway (7)/Jackson Hts-Roosevelt Av (E,F,M,R)",Q,"47,675","49,156","48,426","49,216","49,828","50,194","50,841",+647,+1.3%,16,
"75 Av (E,F) ",Q,"3,752","3,687","3,595","3,692","3,811","3,735","3,763",+28,+0.7%,340,
"75 St-Elderts Ln (J,Z) ",Q,"3,619","3,758","3,737","3,686","3,714","3,757","3,759",+2,+0.1%,341,
80 St (A) ,Q,"4,101","4,303","4,151","4,101","4,181","4,253","4,291",+38,+0.9%,317,
82 St-Jackson Hts (7) ,Q,"16,189","16,666","16,092","15,575","15,811","15,582","15,662",+80,+0.5%,93,
85 St-Forest Pkwy (J) ,Q,"3,667","3,693","3,592","3,643","3,704","3,776","3,792",+16,+0.4%,338,
88 St (A) ,Q,"2,601","2,708","2,638","2,648","2,680","2,677","2,719",+42,+1.6%,377,
90 St-Elmhurst Av (7) ,Q,"16,598","17,303","16,618","16,647","16,679","16,768","16,743",-25,-0.1%,81,
Aqueduct Racetrack (A) ,Q,58,60,52,61,116,0,551,+551,,413,
Aqueduct-North Conduit Av (A) ,Q,895,889,830,791,"1,386","2,430","1,951",-479,-19.7%,398,
"Astoria Blvd (N,Q) ",Q,"10,498","11,146","10,993","11,173","11,809","12,127","12,210",+83,+0.7%,127,
"Astoria-Ditmars Blvd (N,Q) ",Q,"16,200","16,748","16,027","16,148","16,541","16,777","17,039",+262,+1.6%,79,
"Beach 105 St (A,S) ",Q,264,282,191,208,255,253,141,-112,-44.3%,419,
Beach 25 St (A) ,Q,"1,763","1,871","1,748","1,329","1,702","1,494",904,-590,-39.5%,412,
Beach 36 St (A) ,Q,875,881,896,"1,111",622,718,466,-252,-35.1%,414,
Beach 44 St (A) ,Q,520,604,594,478,748,538,297,-241,-44.8%,417,
Beach 60 St (A) ,Q,"2,431","2,478","2,401","2,624","1,798","1,924","1,317",-607,-31.5%,408,
Beach 67 St-Arverne By The Sea (A) ,Q,"1,808","1,929","1,912","1,546","2,236","1,859","1,118",-741,-39.9%,410,
"Beach 90 St (A,S) ",Q,"1,064","1,114",864,908,"1,019",877,463,-414,-47.2%,415,
"Beach 98 St (A,S) ",Q,927,794,782,503,615,572,292,-280,-49.0%,418,
"Briarwood-Van Wyck Blvd (E,F) ",Q,"5,853","6,026","5,744","5,688","5,655","5,196","4,664",-532,-10.2%,305,
"Broad Channel (A,S) ",Q,351,360,325,318,304,267,127,-140,-52.4%,420,
"Broadway (N,Q) ",Q,"12,783","13,018","12,511","12,644","12,678","13,041","13,280",+239,+1.8%,115,
"Court Sq (E,G,M,7)",Q,"27,470","29,042","25,140","24,848","21,610","18,631","20,446","+1,815",+9.7%,65,
"Elmhurst Av (M,R)",Q,"13,541","13,885","13,410","13,253","13,426","13,562","13,597",+35,+0.3%,112,
Far Rockaway-Mott Av (A) ,Q,"4,461","4,655","4,568","4,662","4,750","4,068","2,651","-1,417",-34.8%,380,
Flushing-Main St (7) ,Q,"57,426","58,681","57,753","59,093","60,184","60,540","60,190",-350,-0.6%,13,
Forest Av (M) ,Q,"3,424","3,517","3,502","3,608","3,901","3,971","4,103",+132,+3.3%,324,
"Forest Hills-71 Av (E,F,M,R)",Q,"26,611","27,139","26,190","26,494","27,123","27,537","27,728",+191,+0.7%,39,
Fresh Pond Rd (M) ,Q,"4,609","4,849","4,782","5,001","5,431","5,545","5,333",-212,-3.8%,278,
"Grand Av-Newtown (M,R)",Q,"17,326","17,789","17,387","17,466","17,886","18,108","18,298",+190,+1.0%,73,
Howard Beach-JFK Airport (A) ,Q,"2,837","2,966","2,801","2,667","2,729","3,227","4,972","+1,745",+54.1%,287,
Hunters Point Av (7) ,Q,"6,743","6,655","6,210","6,023","6,113","6,521","6,400",-121,-1.9%,234,
"Jamaica Center-Parsons-Archer (E,J,Z) ",Q,"37,580","38,966","38,563","39,327","40,423","41,130","41,686",+556,+1.4%,20,
Jamaica-179 St (F) ,Q,"22,793","23,394","22,535","22,766","23,174","23,330","23,280",-50,-0.2%,57,
Jamaica-Van Wyck (E) ,Q,"4,621","4,299","4,279","4,588","4,882","4,930","4,992",+62,+1.3%,286,
Junction Blvd (7) ,Q,"20,484","21,038","21,196","21,593","21,240","20,938","20,818",-120,-0.6%,64,
"Kew Gardens-Union Turnpike (E,F) ",Q,"26,168","26,996","26,411","26,763","27,280","27,884","28,289",+405,+1.5%,36,
Mets-Willets Point (7) ,Q,"4,932","5,406","4,998","4,648","4,472","4,618","4,675",+57,+1.2%,304,
Middle Village-Metropolitan Av (M) ,Q,"3,389","3,640","3,763","3,815","3,983","4,053","4,092",+39,+1.0%,325,
"Northern Blvd (M,R)",Q,"7,147","7,584","7,263","7,066","7,049","7,201","7,235",+34,+0.5%,208,
Ozone Park-Lefferts Blvd (A) ,Q,"7,504","7,773","7,434","7,326","7,491","7,460","7,476",+16,+0.2%,200,
Parsons Blvd (F) ,Q,"5,914","6,122","5,920","6,013","6,174","6,329","6,463",+134,+2.1%,232,
"Queens Plaza (E,M,R)",Q,"8,086","8,558","8,277","8,370","8,869","9,695","9,696",+1,+0.0%,162,
"Queensboro Plaza (N,Q,7) ",Q,"8,496","8,955","8,682","8,916","9,577","10,752","11,132",+380,+3.5%,143,
Rockaway Blvd (A) ,Q,"7,055","7,422","7,441","7,715","7,786","8,045","8,662",+617,+7.7%,181,
"Rockaway Park-Beach 116 St (A,S) ",Q,850,843,796,778,845,741,379,-362,-48.9%,416,
Seneca Av (M) ,Q,"2,081","2,117","2,158","2,235","2,433","2,461","2,428",-33,-1.3%,386,
"Steinway St (M,R)",Q,"13,711","14,214","13,901","14,028","15,036","15,061","14,769",-292,-1.9%,102,
Sutphin Blvd (F) ,Q,"4,337","4,464","4,404","4,605","4,693","4,760","4,932",+172,+3.6%,291,
"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z) ",Q,"19,036","20,138","20,144","20,706","21,630","22,285","23,012",+727,+3.3%,59,
Vernon Blvd-Jackson Av (7) ,Q,"8,019","9,541","9,607","10,028","10,450","11,541","12,610","+1,069",+9.3%,121,
"Woodhaven Blvd (J,Z) ",Q,"3,907","4,173","4,176","4,260","4,433","4,464","4,576",+112,+2.5%,308,
"Woodhaven Blvd (M,R)",Q,"22,990","23,826","23,035","22,673","22,502","22,521","22,276",-245,-1.1%,62,
Woodside-61 St (7) ,Q,"16,070","16,746","16,541","16,680","16,734","16,698","16,559",-139,-0.8%,86,
,,,,,,,,,,,,
Brooklyn,,"1,038,631","1,087,312","1,075,159","1,100,055","1,128,393","1,151,433","1,178,741","+27,308",+2.4%,,
Bronx,,"418,842","444,943","442,457","450,208","459,274","469,571","476,651","+7,080",+1.5%,,
Manhattan,,"2,849,118","2,930,611","2,826,545","2,856,251","2,928,969","2,981,657","3,027,257","+45,600",+1.5%,,
Queens,,"739,533","766,571","747,114","755,495","768,288","777,473","782,322","+4,849",+0.6%,,
Systemwide Adjustment,,"-3,861","-3,762","-4,442","-5,096",-629,50,63,+13,,,
System Total,,"5,042,263","5,225,675","5,086,833","5,156,913","5,284,295","5,380,184","5,465,034","+84,850",+1.6%,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
