,GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000,popchange,percent,k-means label
104,36005008400,140,36,5,35620,408,0.0,0.0,Census Tract 84,2374.0,749,2079.0,657,2374,2079,295,14.18951418951419,0
105,36005008500,140,36,5,35620,408,0.0,0.0,Census Tract 85,5457.0,1826,5409.0,1526,5457,5409,48,0.8874098724348309,0
106,36005008600,140,36,5,35620,408,0.0,0.0,Census Tract 86,4176.0,1481,4381.0,1489,4176,4381,-205,-4.679296964163433,0
107,36005008700,140,36,5,35620,408,0.0,0.0,Census Tract 87,5466.0,1820,5221.0,1567,5466,5221,245,4.6925876268914,0
108,36005008900,140,36,5,35620,408,0.0,0.0,Census Tract 89,3177.0,1207,2886.0,1122,3177,2886,291,10.083160083160084,0
109,36005009000,140,36,5,35620,408,0.0,0.0,Census Tract 90,3667.0,1209,3691.0,1205,3667,3691,-24,-0.6502302898943376,0
110,36005009200,140,36,5,35620,408,0.0,0.0,Census Tract 92,5017.0,1893,4873.0,1850,5017,4873,144,2.9550584855325264,0
111,36005009300,140,36,5,35620,408,0.0,0.0,Census Tract 93,6356.0,1910,5531.0,1831,6356,5531,825,14.915928403543663,0
112,36005009600,140,36,5,35620,408,0.0,0.0,Census Tract 96,2594.0,809,2099.0,669,2594,2099,495,23.58265840876608,0
113,36005011000,140,36,5,35620,408,0.0,0.0,Census Tract 110,151.0,48,91.0,39,151,91,60,65.93406593406593,5
114,36005011502,140,36,5,35620,408,0.0,0.0,Census Tract 115.02,4340.0,1474,4139.0,1372,4340,4139,201,4.856245469920271,0
115,36005011800,140,36,5,35620,408,0.0,0.0,Census Tract 118,5089.0,1695,5063.0,1831,5089,5063,26,0.513529527947857,0
116,36005011900,140,36,5,35620,408,0.0,0.0,Census Tract 119,5698.0,2027,4793.0,1720,5698,4793,905,18.8817024827874,0
117,36005012101,140,36,5,35620,408,0.0,0.0,Census Tract 121.01,3090.0,999,2878.0,928,3090,2878,212,7.366226546212648,0
118,36005012102,140,36,5,35620,408,0.0,0.0,Census Tract 121.02,1631.0,520,1619.0,516,1631,1619,12,0.7411982705373688,0
119,36005012300,140,36,5,35620,408,0.0,0.0,Census Tract 123,4152.0,1492,2923.0,1101,4152,2923,1229,42.0458433116661,0
120,36005012701,140,36,5,35620,408,0.0,0.0,Census Tract 127.01,2253.0,819,2309.0,812,2253,2309,-56,-2.425292334343872,0
121,36005012901,140,36,5,35620,408,0.0,0.0,Census Tract 129.01,4015.0,1519,2728.0,1055,4015,2728,1287,47.17741935483871,0
122,36005013000,140,36,5,35620,408,0.0,0.0,Census Tract 130,1032.0,482,1179.0,490,1032,1179,-147,-12.46819338422392,0
123,36005013100,140,36,5,35620,408,0.0,0.0,Census Tract 131,5103.0,1763,3519.0,1326,5103,3519,1584,45.012787723785166,0
124,36005013200,140,36,5,35620,408,0.0,0.0,Census Tract 132,5890.0,2373,5630.0,2284,5890,5630,260,4.618117229129663,0
125,36005013300,140,36,5,35620,408,0.0,0.0,Census Tract 133,6384.0,2339,6047.0,2249,6384,6047,337,5.573011410616835,0
126,36005013500,140,36,5,35620,408,0.0,0.0,Census Tract 135,3583.0,1323,3126.0,1199,3583,3126,457,14.619321817018555,0
127,36005014100,140,36,5,35620,408,0.0,0.0,Census Tract 141,3437.0,1271,2222.0,792,3437,2222,1215,54.68046804680468,0
128,36005014300,140,36,5,35620,408,0.0,0.0,Census Tract 143,1003.0,393,803.0,288,1003,803,200,24.906600249066003,0
129,36005014400,140,36,5,35620,408,0.0,0.0,Census Tract 144,5880.0,2268,5701.0,2213,5880,5701,179,3.139800035081565,0
130,36005014500,140,36,5,35620,408,0.0,0.0,Census Tract 145,5816.0,2027,4878.0,1834,5816,4878,938,19.22919229192292,0
131,36005014701,140,36,5,35620,408,0.0,0.0,Census Tract 147.01,6461.0,2033,6100.0,1993,6461,6100,361,5.918032786885246,0
132,36005014900,140,36,5,35620,408,0.0,0.0,Census Tract 149,4591.0,1563,3668.0,1393,4591,3668,923,25.16357688113413,0
133,36005015100,140,36,5,35620,408,0.0,0.0,Census Tract 151,5409.0,1938,4743.0,1728,5409,4743,666,14.041745730550284,0
134,36005015200,140,36,5,35620,408,0.0,0.0,Census Tract 152,2341.0,987,2359.0,988,2341,2359,-18,-0.7630351844001695,0
135,36005015300,140,36,5,35620,408,0.0,0.0,Census Tract 153,4031.0,1494,2962.0,1161,4031,2962,1069,36.09047940580689,0
136,36005015500,140,36,5,35620,408,0.0,0.0,Census Tract 155,3005.0,1034,2779.0,1021,3005,2779,226,8.132421734436848,0
137,36005015700,140,36,5,35620,408,0.0,0.0,Census Tract 157,3580.0,1321,3571.0,1218,3580,3571,9,0.2520302436292355,0
138,36005015800,140,36,5,35620,408,0.0,0.0,Census Tract 158,1206.0,480,1211.0,599,1206,1211,-5,-0.41288191577208916,0
139,36005015900,140,36,5,35620,408,0.0,0.0,Census Tract 159,2164.0,686,2170.0,663,2164,2170,-6,-0.2764976958525346,0
140,36005016300,140,36,5,35620,408,0.0,0.0,Census Tract 163,0.0,0,0.0,0,0,0,0,0.0,0
141,36005016400,140,36,5,35620,408,0.0,0.0,Census Tract 164,1141.0,481,1212.0,458,1141,1212,-71,-5.858085808580858,0
142,36005016600,140,36,5,35620,408,0.0,0.0,Census Tract 166,2166.0,814,2245.0,845,2166,2245,-79,-3.5189309576837413,0
143,36005017100,140,36,5,35620,408,0.0,0.0,Census Tract 171,0.0,0,0.0,0,0,0,0,0.0,0
144,36005017300,140,36,5,35620,408,0.0,0.0,Census Tract 173,5987.0,2101,4842.0,1774,5987,4842,1145,23.647253201156545,0
145,36005017500,140,36,5,35620,408,0.0,0.0,Census Tract 175,6911.0,2598,6466.0,2580,6911,6466,445,6.882152799257655,0
146,36005017701,140,36,5,35620,408,0.0,0.0,Census Tract 177.01,4294.0,1375,3831.0,1278,4294,3831,463,12.08561733228922,0
147,36005017702,140,36,5,35620,408,0.0,0.0,Census Tract 177.02,4805.0,1760,4287.0,1635,4805,4287,518,12.083041754140424,0
148,36005017901,140,36,5,35620,408,0.0,0.0,Census Tract 179.01,4677.0,1530,4654.0,1472,4677,4654,23,0.49419853889127635,0
149,36005018101,140,36,5,35620,408,0.0,0.0,Census Tract 181.01,3300.0,1103,3195.0,1089,3300,3195,105,3.286384976525822,0
150,36005018102,140,36,5,35620,408,0.0,0.0,Census Tract 181.02,5555.0,1665,5377.0,1645,5555,5377,178,3.310396131671936,0
151,36005018301,140,36,5,35620,408,0.0,0.0,Census Tract 183.01,4525.0,2000,4638.0,2000,4525,4638,-113,-2.436394997843898,0
152,36005018302,140,36,5,35620,408,0.0,0.0,Census Tract 183.02,3647.0,1312,3738.0,1311,3647,3738,-91,-2.4344569288389515,0
153,36005018400,140,36,5,35620,408,0.0,0.0,Census Tract 184,3855.0,1672,3695.0,1620,3855,3695,160,4.330175913396482,0
154,36005018500,140,36,5,35620,408,0.0,0.0,Census Tract 185,7466.0,2761,4750.0,1750,7466,4750,2716,57.17894736842105,0
155,36005018900,140,36,5,35620,408,0.0,0.0,Census Tract 189,7752.0,2782,6771.0,2385,7752,6771,981,14.48825875055383,0
156,36005019300,140,36,5,35620,408,0.0,0.0,Census Tract 193,5461.0,2029,5740.0,2042,5461,5740,-279,-4.860627177700348,0
157,36005019500,140,36,5,35620,408,0.0,0.0,Census Tract 195,7756.0,2694,7327.0,2422,7756,7327,429,5.855056639825304,0
158,36005019900,140,36,5,35620,408,0.0,0.0,Census Tract 199,8154.0,2814,7880.0,2727,8154,7880,274,3.4771573604060912,0
159,36005020000,140,36,5,35620,408,0.0,0.0,Census Tract 200,4878.0,1663,4104.0,1549,4878,4104,774,18.859649122807017,0
160,36005020100,140,36,5,35620,408,0.0,0.0,Census Tract 201,4013.0,1326,3629.0,1146,4013,3629,384,10.581427390465693,0
161,36005020200,140,36,5,35620,408,0.0,0.0,Census Tract 202,2155.0,907,1824.0,759,2155,1824,331,18.146929824561404,0
162,36005020501,140,36,5,35620,408,0.0,0.0,Census Tract 205.01,6996.0,2688,7436.0,2784,6996,7436,-440,-5.9171597633136095,0
163,36005020502,140,36,5,35620,408,0.0,0.0,Census Tract 205.02,1764.0,699,1875.0,725,1764,1875,-111,-5.92,0
164,36005020601,140,36,5,35620,408,0.0,0.0,Census Tract 206.01,3050.0,1179,2375.0,906,3050,2375,675,28.421052631578945,0
165,36005021001,140,36,5,35620,408,0.0,0.0,Census Tract 210.01,8521.0,4069,8768.0,4308,8521,8768,-247,-2.8170620437956204,0
166,36005021002,140,36,5,35620,408,0.0,0.0,Census Tract 210.02,6839.0,3136,7035.0,3321,6839,7035,-196,-2.7860696517412937,0
167,36005021100,140,36,5,35620,408,0.0,0.0,Census Tract 211,5565.0,1960,4532.0,1478,5565,4532,1033,22.793468667255077,0
168,36005021200,140,36,5,35620,408,0.0,0.0,Census Tract 212,5267.0,2318,5232.0,2452,5267,5232,35,0.668960244648318,0
169,36005021302,140,36,5,35620,408,0.0,0.0,Census Tract 213.02,5415.0,1935,3981.0,1321,5415,3981,1434,36.02110022607385,0
170,36005021601,140,36,5,35620,408,0.0,0.0,Census Tract 216.01,4206.0,1707,4339.0,1652,4206,4339,-133,-3.0652224014749945,0
171,36005021602,140,36,5,35620,408,0.0,0.0,Census Tract 216.02,5769.0,2560,5293.0,2415,5769,5293,476,8.993009635367466,0
172,36005021700,140,36,5,35620,408,0.0,0.0,Census Tract 217,5334.0,1876,4968.0,1591,5334,4968,366,7.367149758454106,0
173,36005021800,140,36,5,35620,408,0.0,0.0,Census Tract 218,6499.0,2409,6648.0,2410,6499,6648,-149,-2.2412755716004815,0
174,36005021900,140,36,5,35620,408,0.0,0.0,Census Tract 219,1367.0,429,1307.0,426,1367,1307,60,4.590665646518746,0
175,36005022101,140,36,5,35620,408,0.0,0.0,Census Tract 221.01,3849.0,1177,3479.0,1055,3849,3479,370,10.635240011497556,0
176,36005022102,140,36,5,35620,408,0.0,0.0,Census Tract 221.02,5488.0,1691,4962.0,1517,5488,4962,526,10.60056428859331,0
177,36005022200,140,36,5,35620,408,0.0,0.0,Census Tract 222,3425.0,1244,3024.0,1164,3425,3024,401,13.260582010582011,0
178,36005022300,140,36,5,35620,408,0.0,0.0,Census Tract 223,5047.0,1802,5510.0,1818,5047,5510,-463,-8.40290381125227,0
179,36005022401,140,36,5,35620,408,0.0,0.0,Census Tract 224.01,2708.0,1146,2607.0,1151,2708,2607,101,3.874184886843115,0
180,36005022403,140,36,5,35620,408,0.0,0.0,Census Tract 224.03,3188.0,1340,2952.0,1242,3188,2952,236,7.994579945799458,0
181,36005022404,140,36,5,35620,408,0.0,0.0,Census Tract 224.04,4509.0,1863,4174.0,1726,4509,4174,335,8.02587446094873,0
182,36005022500,140,36,5,35620,408,0.0,0.0,Census Tract 225,7698.0,2294,6926.0,2027,7698,6926,772,11.146404851285013,0
183,36005022703,140,36,5,35620,408,0.0,0.0,Census Tract 227.03,1556.0,567,1585.0,532,1556,1585,-29,-1.829652996845426,0
184,36005022800,140,36,5,35620,408,0.0,0.0,Census Tract 228,6218.0,2537,5777.0,2486,6218,5777,441,7.6337199238359,0
185,36005022902,140,36,5,35620,408,0.0,0.0,Census Tract 229.02,3273.0,1130,3112.0,1039,3273,3112,161,5.173521850899743,0
186,36005023000,140,36,5,35620,408,0.0,0.0,Census Tract 230,2950.0,1071,2754.0,1048,2950,2754,196,7.116920842411038,0
187,36005023100,140,36,5,35620,408,0.0,0.0,Census Tract 231,1537.0,445,1611.0,462,1537,1611,-74,-4.5934202358783365,0
188,36005023200,140,36,5,35620,408,0.0,0.0,Census Tract 232,2661.0,968,2333.0,872,2661,2333,328,14.059151307329618,0
189,36005023302,140,36,5,35620,408,0.0,0.0,Census Tract 233.02,3415.0,1020,3545.0,1149,3415,3545,-130,-3.6671368124118473,0
190,36005023600,140,36,5,35620,408,0.0,0.0,Census Tract 236,1907.0,673,1873.0,687,1907,1873,34,1.8152696209289907,0
191,36005023703,140,36,5,35620,408,0.0,0.0,Census Tract 237.03,5253.0,1546,5033.0,1468,5253,5033,220,4.371150407311743,0
