,lines_x,stations_x,Boro,2007,2008,2009,2010,2011,2012,2013,2012-2013 Change,12/13 %,2013 Rank,07/13 Change,7/13 %,index,lines_y,stations_y,3,4,k-means label
31,FG ,15 St ,B,6006.0,6002.0,5977.0,6220.0,4725.0,6018.0,6448.0,430.0,+7.1%,233.0,442.0,7.35930735930736,15StFG,F,15St,40.660365,-73.979493,0
32,BD ,155 St ,M,3718.0,3735.0,3728.0,3823.0,3845.0,3947.0,3948.0,1.0,+0.0%,331.0,230.0,6.1861215707369555,155StBD,BD,155St,40.830135,-73.938209,0
33,C ,155 St ,M,2264.0,2321.0,2221.0,2279.0,2455.0,2490.0,2529.0,39.0,+1.6%,383.0,265.0,11.70494699646643,155StC,C,155St,40.830518,-73.941514,0
34,1 ,157 St ,M,9706.0,9815.0,9843.0,9899.0,9972.0,10331.0,10677.0,346.0,+3.3%,149.0,971.0,10.004121162167731,157St1,1,157St,40.834041,-73.94489,0
35,BD4 ,161 St ,Bx,24258.0,26511.0,26061.0,26159.0,26631.0,27604.0,26972.0,-632.0,-2.3%,41.0,2714.0,11.188061670376783,161StBD4,BD4,161St,40.827905,-73.925651,0
36,C ,163 St ,M,3587.0,3600.0,3525.0,3663.0,3772.0,3849.0,4080.0,231.0,+6.0%,326.0,493.0,13.744075829383887,163StC,C,163St,40.836013,-73.939892,0
37,4 ,167 St ,Bx,8564.0,9125.0,9054.0,9220.0,9351.0,9699.0,9904.0,205.0,+2.1%,158.0,1340.0,15.646893974778141,167St4,4,167St,40.835537,-73.9214,3
38,BD ,167 St ,Bx,8747.0,8913.0,8848.0,8839.0,9054.0,9264.0,9374.0,110.0,+1.2%,171.0,627.0,7.168171944666743,167StBD,BD,167St,40.833769,-73.918432,0
39,AC1 ,168 St ,M,22377.0,23458.0,23592.0,23572.0,24019.0,24580.0,25041.0,461.0,+1.9%,49.0,2664.0,11.905081110068373,168StAC1,AC1,168St,40.840556,-73.940133,0
40,F ,169 St ,Q,7999.0,8416.0,8412.0,8600.0,8949.0,8944.0,9042.0,98.0,+1.1%,176.0,1043.0,13.039129891236403,169StF,F,169St,40.71047,-73.793604,0
